Display_first_last,age,value,pts,ast,reb,pie,season_exp,draftValue,BMI,Center,Center-Forward,Forward,Forward-Center,Forward-Guard,Guard,Guard-Forward,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,STL,BLK,TOV,PF
Dewayne Dedmon,32,2866667.0,6.4,0.7,6.0,0.0,7,3.0,24.40972222222223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,15.0,15.9,2.4,4.3,0.5660000000000001,0.3,0.7,0.40399999999999997,2.2,3.6,0.597,0.598,1.1,1.5,0.75,1.6,4.2,0.4,0.6,1.0,2.6
Admiral Schofield,24,300000.0,3.0,0.5,1.4,0.0,1,2.42,28.57530780907404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,1.0,12.3,1.4,3.4,0.419,0.7,2.1,0.32899999999999996,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,0.1,0.1,0.6,1.5
Jared Harper,24,1669178.0,0.7,0.0,0.0,-0.022000000000000002,1,3.0,25.107142857142854,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,8.6,2.8,5.2,0.5379999999999999,1.0,2.4,0.41700000000000004,1.8,2.8,0.643,0.635,0.8,0.8,1.0,0.4,0.0,0.8,0.2,0.4,1.0
Quinndary Weatherspoon,25,1669178.0,0.8,0.5,0.4,-0.011000000000000001,1,2.49,25.620444444444445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,6.6,1.1,1.9,0.5710000000000001,0.1,0.5,0.2,1.0,1.5,0.688,0.595,0.5,0.5,1.0,0.2,1.1,0.1,0.1,0.3,1.4
Wenyen Gabriel,24,1762796.0,0.2,0.3,1.2,0.0,1,3.0,21.965401615607377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,5.0,13.8,2.1,4.2,0.491,0.3,1.1,0.28600000000000003,1.8,3.2,0.561,0.527,1.0,1.6,0.595,1.5,2.2,0.2,0.4,0.6,2.6
Romeo Langford,22,3804360.0,2.5,0.4,1.3,0.024,1,1.14,26.289473684210524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,5.0,16.1,1.7,4.0,0.435,0.6,1.8,0.341,1.1,2.2,0.509,0.51,0.5,0.9,0.5479999999999999,0.6,1.6,0.5,0.3,0.3,1.0
KZ Okpala,22,1782621.0,2.7,0.4,2.0,0.025,1,2.32,23.61640625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,11.6,1.4,3.3,0.435,0.4,1.2,0.34600000000000003,1.0,2.0,0.488,0.5,0.4,0.5,0.727,0.5,1.4,0.2,0.3,0.2,1.2
Rodney Hood,29,10851246.0,4.7,1.2,1.9,0.031,6,1.23,22.8475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,13.6,1.1,3.0,0.369,0.6,1.8,0.33,0.5,1.3,0.424,0.465,0.3,0.4,0.895,0.3,1.2,0.3,0.1,0.2,0.6
Isaac Bonga,22,2079826.0,2.2,0.6,2.1,0.032,2,2.39,19.771875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,4.6,0.2,0.9,0.231,0.1,0.3,0.25,0.1,0.6,0.222,0.26899999999999996,0.3,0.5,0.625,0.3,0.2,0.5,0.1,0.1,0.7
Juwan Morgan,24,1897476.0,0.9,0.2,0.8,0.035,1,3.0,26.13299150777119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,15.5,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.0,0.833,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5
Sekou Doumbouya,21,3613680.0,3.9,0.6,2.2,0.036000000000000004,1,1.15,25.2640625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,2.5,4.0,0.625,0.5,1.0,0.5,2.0,3.0,0.667,0.688,1.5,2.0,0.75,1.0,2.0,1.5,1.0,1.0,0.5
DaQuan Jeffries,24,1701593.0,3.9,0.3,1.6,0.036000000000000004,1,3.0,27.271040647664023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3
Frank Ntilikina,23,8326027.0,4.3,0.8,1.2,0.037000000000000005,3,1.8,24.342105263157894,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,5.0,11.8,1.5,3.8,0.39899999999999997,0.7,1.9,0.342,0.9,1.9,0.455,0.484,0.4,0.4,0.96,0.2,1.2,0.5,0.1,0.5,1.1
Josh Okogie,23,4087904.0,4.8,1.2,2.6,0.039,2,1.2,25.92434210526316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,6.0,10.5,0.9,2.1,0.40399999999999997,0.3,1.0,0.298,0.6,1.2,0.491,0.47100000000000003,0.7,1.0,0.6859999999999999,0.6,0.8,0.5,0.2,0.5,1.1
Chandler Hutchison,25,4019459.0,1.9,0.6,2.9,0.042,2,1.22,24.26528599605523,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.7,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.3,0.5,0.5,0.3,0.3,1.0,0.0,0.8,0.0,0.0,0.7,0.2
Grant Williams,23,2617800.0,5.0,0.9,2.9,0.043,1,1.22,27.269559500328732,0.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,21.0,24.4,2.7,5.6,0.475,1.4,3.4,0.41100000000000003,1.3,2.3,0.569,0.597,1.1,1.2,0.905,0.8,2.7,0.5,0.7,0.8,2.4
Gary Clark,27,2100000.0,3.4,0.9,3.2,0.044000000000000004,2,3.0,25.99852071005917,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.0,1.0,9.9,0.9,2.3,0.375,0.7,1.8,0.4,0.1,0.5,0.278,0.534,0.2,0.3,0.7,0.6,1.8,0.3,0.2,0.3,0.5
Paul Watson,27,1701593.0,2.6,0.4,1.3,0.044000000000000004,1,3.0,24.26528599605523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,17.3,1.3,3.9,0.34299999999999997,0.7,2.9,0.231,0.7,1.0,0.667,0.429,0.1,0.2,0.5,0.3,2.7,0.3,0.3,0.4,1.1
Aaron Holiday,25,3980551.0,6.9,1.7,1.2,0.045,2,1.23,25.087770061728396,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,15.0,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.47700000000000004,0.504,0.9,1.1,0.868,0.4,1.6,0.7,0.1,1.1,1.5
Jalen McDaniels,23,1782621.0,4.5,0.5,2.4,0.049,1,2.52,21.965401615607377,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,2.0,16.3,2.2,4.6,0.484,0.7,2.0,0.38,1.5,2.7,0.562,0.565,1.0,1.3,0.736,0.7,2.4,0.5,0.4,0.7,1.7
Matisse Thybulle,24,2840160.0,3.7,1.0,1.7,0.05,1,1.2,23.83251813121943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,66.0,50.0,25.5,2.3,4.5,0.5,0.7,2.2,0.313,1.6,2.4,0.6729999999999999,0.575,0.5,0.7,0.7909999999999999,0.6,1.7,1.7,1.1,0.6,2.4
Miye Oni,24,1782621.0,2.0,0.2,1.6,0.051,1,2.58,24.425366840951252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1.0,0.278,0.0,0.1,0.0,0.1,0.4,0.0,0.0,0.1,0.4
Gary Harris,27,20482143.0,9.7,1.7,2.5,0.052000000000000005,6,1.19,25.559210526315788,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,30.0,28.4,3.9,9.1,0.434,1.9,5.0,0.384,2.0,4.1,0.494,0.539,1.4,1.6,0.8740000000000001,0.6,1.4,1.0,0.1,1.0,1.8
Cam Reddish,22,4670160.0,11.2,1.3,4.0,0.053,1,1.1,23.945937500000007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,7.0,20.7,3.4,8.3,0.40399999999999997,1.3,3.8,0.359,2.0,4.6,0.442,0.485,2.1,2.3,0.902,0.5,1.6,1.0,0.3,1.2,1.2
Justise Winslow,25,13000000.0,7.8,1.8,4.9,0.053,5,1.1,25.651873767258387,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.0,11.0,16.1,2.3,5.4,0.428,0.3,1.4,0.22699999999999998,2.0,4.0,0.49700000000000005,0.457,0.8,1.4,0.591,1.0,3.2,0.7,0.5,1.0,1.4
