Display_first_last,birthdate,value,slugSeason,position,pts,ast,reb,pie,season_exp,draft_year,draft_round,draft_number,BMI
Bogdan Bogdanovic,1992-08-18T00:00:00,1.8e+07,2020-21,Guard,9.6,2.3,3.3,0.08,3,2014,1,27,25.42077580539119
Brandon Goodwin,1995-10-02T00:00:00,1701593,2020-21,Guard,3.9,1.6,1,0.062,2,Undrafted,Undrafted,Undrafted,24.409722222222225
Bruno Fernando,1998-08-15T00:00:00,1517981,2020-21,Forward-Center,1.5,0.4,3,0.073,1,2019,2,34,25.715592135345226
Cam Reddish,1999-09-01T00:00:00,4458000,2020-21,Forward-Guard,11.2,1.3,4,0.053,1,2019,1,10,23.945937500000003
Clint Capela,1994-05-18T00:00:00,1.6e+07,2020-21,Center,14.3,0.9,14.2,0.161,6,2014,1,25,25.09220701963117
Danilo Gallinari,1988-08-08T00:00:00,19500000,2020-21,Forward,12.8,1.5,3.9,0.11,11,2008,1,6,24.360350981558593
De'Andre Hunter,1997-12-02T00:00:00,7422000,2020-21,Forward-Guard,16.7,2.2,5.2,0.114,1,2019,1,4,24.71484375
John Collins,1997-09-23T00:00:00,4137302,2020-21,Forward-Center,18.3,1.3,7.8,0.124,3,2017,1,19,25.179850632525532
Kevin Huerter,1998-08-27T00:00:00,2761920,2020-21,Guard-Forward,11.9,3.6,3.7,0.077,2,2018,1,19,21.402018907226406
Khyri Thomas,1996-05-08T00:00:00,744684,2020-21,Guard,2.3,0.3,0.6,,2,2018,2,38,26.245333333333335
Kris Dunn,1994-03-18T00:00:00,4767000,2020-21,Guard,7.3,3.4,3.6,0.082,4,2016,1,5,25.620444444444445
Lou Williams,1986-10-27T00:00:00,8e+06,2020-21,Guard,12,3.5,2.1,0.103,15,2005,2,45,23.08594483017452
Solomon Hill,1991-03-18T00:00:00,1620564,2020-21,Forward,4.2,0.9,2.3,0.038,7,2013,1,23,26.114069690992768
Tony Snell,1991-11-10T00:00:00,12178571,2020-21,Guard,5.6,1.4,2.3,0.072,7,2013,1,20,24.611932938856015
Trae Young,1998-09-19T00:00:00,6571800,2020-21,Guard,25.7,9.4,4.1,0.151,2,2018,1,5,23.74554325389379
Carsen Edwards,1998-03-12T00:00:00,1517981,2020-21,Guard,5.1,0.6,1.1,0.076,1,2019,2,33,27.891291410434434
Evan Fournier,1992-10-29T00:00:00,17450000,2020-21,Guard-Forward,19.6,3.7,3,0.107,8,2012,1,20,23.091651978849544
Grant Williams,1998-11-30T00:00:00,2498760,2020-21,Forward,5,0.9,2.9,0.043,1,2019,1,22,27.269559500328732
Jaylen Brown,1996-10-24T00:00:00,23437500,2020-21,Guard-Forward,24.7,3.9,5.6,0.132,4,2016,1,3,25.76742274819198
Jayson Tatum,1998-03-03T00:00:00,9897120,2020-21,Forward-Guard,24.9,4.3,6.8,0.145,3,2017,1,3,23.0671875
Kemba Walker,1990-05-08T00:00:00,34379100,2020-21,Guard,17.7,4.6,3.6,0.114,9,2011,1,9,24.952160493827158
Luke Kornet,1995-07-15T00:00:00,2250000,2020-21,Forward-Center,2,0.3,1.2,0.08,3,Undrafted,Undrafted,Undrafted,23.76284478096268
Marcus Smart,1994-03-06T00:00:00,13446428,2020-21,Guard,12.8,5.4,2.8,0.09,6,2014,1,6,27.49511111111111
Moritz Wagner,1997-04-26T00:00:00,2161920,2020-21,Forward-Center,7.1,1.3,2.9,0.094,2,2018,1,25,25.001451589490493
Romeo Langford,1999-10-25T00:00:00,3631200,2020-21,Guard-Forward,2.5,0.4,1.3,0.024,1,2019,1,14,26.289473684210524
Semi Ojeleye,1994-12-05T00:00:00,1752950,2020-21,Forward,5.4,0.8,3,0.063,3,2017,2,37,27.731755424063117
Tristan Thompson,1991-03-13T00:00:00,9258000,2020-21,Center-Forward,7.9,1,8.4,0.106,9,2011,1,4,27.21566834324036
