Display_first_last,birthdate,value,slugSeason,position,pts,ast,reb,pie,season_exp,draft_year,draft_round,draft_number,BMI
Dewayne Dedmon,1989-08-12T00:00:00,2866667,2021-22,Center,6.4,0.7,6,,7,Undrafted,Undrafted,Undrafted,24.409722222222225
Zhaire Smith,1999-06-04T00:00:00,1068200,2021-22,Guard,3.7,0.9,1.2,,2,2018,1,16,25.620444444444445
Ryan Anderson,1988-05-06T00:00:00,5214583,2021-22,Forward,12.3,0.9,5.3,,11,2008,1,21,25.715592135345226
Admiral Schofield,1997-03-30T00:00:00,300000,2021-22,Guard-Forward,3,0.5,1.4,,1,2019,2,42,28.57530780907404
DeMarre Carroll,1986-07-27T00:00:00,1242340,2021-22,Forward,8.9,1.3,4.2,,11,2009,1,27,24.843030900723207
Alen Smailagic,2000-08-18T00:00:00,1782621,2021-22,Forward,1.7,0,0,-0.197,1,2019,2,39,22.47843545508626
Jared Harper,1997-09-14T00:00:00,1669178,2021-22,Guard,0.7,0,0,-0.022,1,Undrafted,Undrafted,Undrafted,25.107142857142854
Quinndary Weatherspoon,1996-09-10T00:00:00,1669178,2021-22,Guard,0.8,0.5,0.4,-0.011,1,2019,2,49,25.620444444444445
Wenyen Gabriel,1997-03-26T00:00:00,1762796,2021-22,Forward,0.2,0.3,1.2,0,1,Undrafted,Undrafted,Undrafted,21.965401615607377
Rodions Kurucs,1998-02-05T00:00:00,1861068,2021-22,Forward,1,0.4,0.9,0.021,2,2018,2,40,24.429812528577962
Romeo Langford,1999-10-25T00:00:00,3804360,2021-22,Guard-Forward,2.5,0.4,1.3,0.024,1,2019,1,14,26.289473684210524
KZ Okpala,1999-04-28T00:00:00,1782621,2021-22,Forward-Guard,2.7,0.4,2,0.025,1,2019,2,32,23.61640625
Rodney Hood,1992-10-20T00:00:00,10851246,2021-22,Guard-Forward,4.7,1.2,1.9,0.031,6,2014,1,23,22.8475
Isaac Bonga,1999-11-08T00:00:00,2079826,2021-22,Guard,2.2,0.6,2.1,0.032,2,2018,2,39,19.771875
Juwan Morgan,1997-04-17T00:00:00,1897476,2021-22,Forward,0.9,0.2,0.8,0.035,1,Undrafted,Undrafted,Undrafted,26.13299150777119
Sekou Doumbouya,2000-12-23T00:00:00,3613680,2021-22,Forward,3.9,0.6,2.2,0.036,1,2019,1,15,25.264062499999998
DaQuan Jeffries,1997-08-30T00:00:00,1701593,2021-22,Guard-Forward,3.9,0.3,1.6,0.036,1,Undrafted,Undrafted,Undrafted,27.271040647664023
Frank Ntilikina,1998-07-28T00:00:00,8326027,2021-22,Guard,4.3,0.8,1.2,0.037,3,2017,1,8,24.342105263157897
Josh Okogie,1998-09-01T00:00:00,4087904,2021-22,Guard,4.8,1.2,2.6,0.039,2,2018,1,20,25.924342105263158
Chandler Hutchison,1996-04-26T00:00:00,4019459,2021-22,Forward-Guard,1.9,0.6,2.9,0.042,2,2018,1,22,24.26528599605523
Grant Williams,1998-11-30T00:00:00,2617800,2021-22,Forward,5,0.9,2.9,0.043,1,2019,1,22,27.269559500328732
Gary Clark,1994-11-16T00:00:00,2100000,2021-22,Forward,3.4,0.9,3.2,0.044,2,Undrafted,Undrafted,Undrafted,25.99852071005917
Paul Watson,1994-12-30T00:00:00,1701593,2021-22,Guard,2.6,0.4,1.3,0.044,1,Undrafted,Undrafted,Undrafted,24.26528599605523
Aaron Holiday,1996-09-30T00:00:00,3980551,2021-22,Guard,6.9,1.7,1.2,0.045,2,2018,1,23,25.087770061728396
Adam Mokoka,1998-07-18T00:00:00,1669178,2021-22,Guard,1.4,0.4,0.4,0.047,1,Undrafted,Undrafted,Undrafted,23.125
Jalen McDaniels,1998-01-31T00:00:00,1782621,2021-22,Forward-Center,4.5,0.5,2.4,0.049,1,2019,2,52,21.965401615607377
Kostas Antetokounmpo,1997-11-20T00:00:00,1729217,2021-22,Forward,1.2,0,1.8,0.049,2,2018,2,60,20.91017251635931
Matisse Thybulle,1997-03-04T00:00:00,2840160,2021-22,Guard-Forward,3.7,1,1.7,0.05,1,2019,1,20,23.832518131219427
Justin James,1997-01-24T00:00:00,1782621,2021-22,Guard-Forward,2.1,0.5,0.5,0.051,1,2019,2,40,21.402018907226406
Miye Oni,1997-08-04T00:00:00,1782621,2021-22,Guard-Forward,2,0.2,1.6,0.051,1,2019,2,58,24.425366840951256
Gary Harris,1994-09-14T00:00:00,20482143,2021-22,Guard,9.7,1.7,2.5,0.052,6,2014,1,19,25.559210526315788
Cam Reddish,1999-09-01T00:00:00,4670160,2021-22,Forward-Guard,11.2,1.3,4,0.053,1,2019,1,10,23.945937500000003
Justise Winslow,1996-03-26T00:00:00,1.3e+07,2021-22,Forward-Guard,7.8,1.8,4.9,0.053,5,2015,1,10,25.651873767258383
Gabe Vincent,1996-06-14T00:00:00,1669178,2021-22,Guard,5.9,1.3,1.2,0.053,1,Undrafted,Undrafted,Undrafted,24.995555555555555
Zach Collins,1997-11-19T00:00:00,7363319,2021-22,Forward-Center,7,1.5,6.3,0.054,3,2017,1,10,25.511685295398465
Vlatko Cancar,1997-04-10T00:00:00,1782621,2021-22,Forward,1.4,0.3,1.2,0.056,1,2017,2,49,25.923125
Luguentz Dort,1999-04-19T00:00:00,1782621,2021-22,Guard,12.6,1.6,3.5,0.056,1,Undrafted,Undrafted,Undrafted,26.87022222222222
Thanasis Antetokounmpo,1992-07-18T00:00:00,2126991,2021-22,Forward,2.2,0.7,2,0.057,2,2014,2,51,25.305226824457595
Nicolo Melli,1991-01-26T00:00:00,4871795,2021-22,Forward,2,1.1,2.6,0.058,1,Undrafted,Undrafted,Undrafted,25.286998933089468
Cory Joseph,1991-08-20T00:00:00,12600000,2021-22,Guard,6.7,2.4,2.2,0.058,9,2011,1,29,24.995555555555555
Dillon Brooks,1996-01-22T00:00:00,12200000,2021-22,Guard-Forward,15.8,2.6,3,0.058,3,2017,2,45,25.34449607434706
Matt Thomas,1994-08-04T00:00:00,1782621,2021-22,Guard,2.6,0.4,0.8,0.058,1,Undrafted,Undrafted,Undrafted,23.125
Landry Shamet,1997-03-13T00:00:00,3768342,2021-22,Guard,7.8,1.1,1.8,0.059,2,2018,1,26,23.125
Jarrett Culver,1999-02-20T00:00:00,6395160,2021-22,Guard-Forward,6.8,0.8,4.3,0.059,1,2019,1,6,22.53205128205128
Edmond Sumner,1995-12-31T00:00:00,2320000,2021-22,Guard,4.9,0.4,1.4,0.06,3,2017,2,52,23.85526315789474
Patrick Patterson,1989-03-14T00:00:00,737066,2021-22,Forward,4.7,0.5,2,0.06,10,2010,1,14,25.81328125
Dwayne Bacon,1995-08-30T00:00:00,1824003,2021-22,Guard-Forward,9.9,1.1,2.8,0.06,3,2017,2,40,25.536324786324787
Brandon Goodwin,1995-10-02T00:00:00,2126991,2021-22,Guard,3.9,1.6,1,0.062,2,Undrafted,Undrafted,Undrafted,24.409722222222225
Avery Bradley,1990-11-26T00:00:00,5916750,2021-22,Guard,8.5,1.4,1.8,0.062,10,2010,1,19,22.496000000000002
Garrison Mathews,1996-10-24T00:00:00,1669178,2021-22,Guard,6.7,0.4,1.7,0.063,1,Undrafted,Undrafted,Undrafted,25.492494518468543
Davis Bertans,1992-11-12T00:00:00,1.6e+07,2021-22,Forward,10.8,0.9,2.9,0.064,4,2011,2,42,23.523944080904226
Kelan Martin,1995-08-03T00:00:00,1701593,2021-22,Forward,1.3,0.1,0.9,0.066,1,Undrafted,Undrafted,Undrafted,27.271040647664023
Jevon Carter,1995-09-14T00:00:00,3650000,2021-22,Guard,2.8,1.1,1.1,0.066,2,2018,2,32,26.383936948770877
Aron Baynes,1986-12-09T00:00:00,7350000,2021-22,Center-Forward,6.1,0.9,5.5,0.067,8,Undrafted,Undrafted,Undrafted,27.183224271267104
Bryn Forbes,1993-07-23T00:00:00,2454002,2021-22,Guard,9.5,0.6,1.2,0.068,4,Undrafted,Undrafted,Undrafted,26.31756756756757
DeAndre' Bembry,1994-07-04T00:00:00,1977011,2021-22,Guard-Forward,4.6,1.9,2.3,0.068,4,2016,1,21,24.89964580873672
Javonte Green,1993-07-23T00:00:00,1897476,2021-22,Guard-Forward,4.2,0.4,2.1,0.069,1,Undrafted,Undrafted,Undrafted,24.950657894736842
Brad Wanamaker,1989-07-25T00:00:00,2812500,2021-22,Guard,4.7,2.5,1.7,0.07,2,Undrafted,Undrafted,Undrafted,26.245333333333335
Duncan Robinson,1994-04-22T00:00:00,4736102,2021-22,Forward,12.5,1.7,3.8,0.07,2,Undrafted,Undrafted,Undrafted,24.218074026598305
Ryan Arcidiacono,1994-03-26T00:00:00,3e+06,2021-22,Guard,3.2,1.2,1.6,0.071,3,Undrafted,Undrafted,Undrafted,24.370666666666665
Goga Bitadze,1999-07-20T00:00:00,3098400,2021-22,Center-Forward,3.8,0.3,2.2,0.071,1,2019,1,18,25.511685295398465
Marc Gasol,1985-01-29T00:00:00,2692991,2021-22,Center,4.8,2,4.1,0.071,12,2007,2,48,26.02191900130643
Eric Bledsoe,1989-12-09T00:00:00,18125000,2021-22,Guard,11.3,3.7,3.4,0.071,10,2010,1,18,28.230812535184835
Justin Holiday,1989-04-05T00:00:00,6006420,2021-22,Forward-Guard,11.6,1.7,3.9,0.072,7,Undrafted,Undrafted,Undrafted,20.798816568047336
Patrick Beverley,1988-07-12T00:00:00,14320987,2021-22,Guard,8.3,2.1,3.7,0.072,8,2009,2,42,23.74554325389379
Royce O'Neale,1993-06-05T00:00:00,8800000,2021-22,Forward,7.5,2.6,6.6,0.072,3,Undrafted,Undrafted,Undrafted,27.50657894736842
Bruno Fernando,1998-08-15T00:00:00,1782621,2021-22,Forward-Center,1.5,0.4,3,0.073,1,2019,2,34,25.715592135345226
Amir Coffey,1997-06-17T00:00:00,1669178,2021-22,Guard-Forward,2.9,0.5,0.7,0.073,1,Undrafted,Undrafted,Undrafted,23.65486300272392
Robert Covington,1990-12-14T00:00:00,12975471,2021-22,Forward,8.6,1.7,6.7,0.073,7,Undrafted,Undrafted,Undrafted,23.54222079794905
Kevin Love,1988-09-07T00:00:00,31258256,2021-22,Forward-Center,5.8,1.3,3.3,0.074,12,2008,1,5,27.570781249999996
Dwight Powell,1991-07-20T00:00:00,11080125,2021-22,Forward-Center,4.4,0.8,3.3,0.074,6,2014,2,45,25.09220701963117
Nassir Little,2000-02-11T00:00:00,2316240,2021-22,Forward-Guard,5.3,0.4,2.6,0.074,1,2019,1,25,26.085343228200372
Josh Richardson,1993-09-15T00:00:00,11615328,2021-22,Guard,13.3,2.7,3.3,0.075,5,2015,2,40,23.713948389273064
Terence Davis,1997-05-16T00:00:00,1897476,2021-22,Guard,7,1.1,2,0.075,1,Undrafted,Undrafted,Undrafted,24.463815789473685
Carsen Edwards,1998-03-12T00:00:00,1782621,2021-22,Guard,5.1,0.6,1.1,0.076,1,2019,2,33,27.891291410434434
Caleb Martin,1995-09-28T00:00:00,1782621,2021-22,Forward,5.3,1.1,2.6,0.076,1,Undrafted,Undrafted,Undrafted,24.306797099004893
Cedi Osman,1995-04-08T00:00:00,8133334,2021-22,Forward,10.1,2.7,3.6,0.076,3,2015,2,31,25.907707098221437
